ROS Time,l_wheel_joint,r_wheel_joint,torso_lift_joint,bellows_joint,head_pan_joint,head_tilt_joint,shoulder_pan_joint,shoulder_lift_joint,upperarm_roll_joint,elbow_flex_joint,forearm_roll_joint,wrist_flex_joint,wrist_roll_joint,l_gripper_finger_joint,r_gripper_finger_joint
67.048,-0.0006607650381127428,-0.005821688939556147,0.04464724216468193,0.028980112868681355,0.1999775227515581,0.40249225094844476,1.4284994381025173,0.3177454131927284,-0.20054338651940817,-2.2311611391834885,-1.5602133197706092,1.7982542669781418,-0.35052820492324965,0.050068041169871264,0.05008523327892296
67.128,-0.0006641558914610712,-0.005830117353653463,0.04469433829032763,0.028974880120828,0.19997512989686417,0.4035471234559198,1.428506417554983,0.3178672485970715,-0.20051539359050086,-2.231263046928252,-1.5602228968720748,1.7982023755366052,-0.3504875938754317,0.05006724462791773,0.05008602930951882
67.164,-0.0006667816021952433,-0.005840191260267247,0.04475878829291057,0.029047989485626022,0.19995756149671085,0.4041645273782075,1.4285441800976626,0.3178428457088307,-0.20031050273767104,-2.2312164723778127,-1.5602671926344192,1.798013659207876,-0.3505892290868271,0.050053570677663584,0.050099704266714166
67.283,-0.0006754018070198597,-0.005927482393794037,0.046878023876330145,0.029446078714336573,0.19998943478217068,0.4022922089252514,1.419789912765876,0.31614466384113094,-0.2022864123870729,-2.229518201402177,-1.5705869844039269,1.7756713291325683,-0.3558302647120595,0.04988068402229644,0.05000764549793474
67.331,-0.0006838819945311769,-0.005952986965054308,0.05002200769895406,0.030278060569653365,0.19999450715748424,0.4027509929409643,1.4019581025039942,0.3133292065068103,-0.22108720743382904,-2.2263439013627564,-1.5912867758112847,1.7296207689370187,-0.366144492091518,0.04943817162878346,0.050207161037773805
67.503,-0.0006985045021172809,-0.006034674633675685,0.05962534450792022,0.0338292550959078,0.19998800141911044,0.404187048313986,1.3412427501905642,0.3044355098235325,-0.3038430647216668,-2.215699067273851,-1.6616015922833354,1.5712432931092755,-0.40130180576332997,0.045259989910744064,0.05009989240252245
67.81,-0.000702916945624743,-0.006065981852586333,0.08040042514017384,0.043285097932115844,0.19995986391244003,0.4038075510018997,1.208751121519973,0.2850455663832019,-0.46655506692161985,-2.1924624492606966,-1.816000451712573,1.2271062344492547,-0.4780355410966628,0.03935369365218782,0.0500499260258193
68.048,-0.000695973591472665,-0.0060585770482664,0.10569732931608354,0.054814939555478635,0.19998088330962815,0.4035144915882354,1.0388413306929687,0.2596957988263009,-0.6663061716927796,-2.162251032785911,-2.0135710432540135,0.7865481709833011,-0.5773184063559711,0.030771419176248375,0.05021411789795536
68.3,-0.0006826038430620684,-0.0060449694423621025,0.12966953939376366,0.06669236543938642,0.19998330178184798,0.4035052126757286,0.8848614107716708,0.23691769998996293,-0.8610694827767453,-2.1351536268600237,-2.193139469816252,0.3862819650187008,-0.6647324256150737,0.03066345007000285,0.05002953729698384
68.628,-0.0006486648284305119,-0.00602615572631926,0.16033653982638033,0.08201887019510133,0.19997885576350072,0.4037067351921282,0.6878125898800134,0.20781464775578762,-1.1064085334462526,-2.100248437951301,-2.4216566346245667,-0.12586700775308746,-0.7779171053441507,0.03090482653322446,0.049999888539150085
