ROS Time ,Position_x ,Position_y ,Position_z ,Quaternion_x ,Quaternion_y ,Quaternion_z ,Quaternion_w 
616.682,0.34195185376302206,0.32968667749235514,1.037895132360729,-0.0010628318352607696,-0.705348975786414,0.023650901208159623,-0.7084647680848981
616.853,0.342317926524064,0.32968748762952,1.0376881739111279,-0.0011663063998968775,-0.7054425750117759,0.02380048475933163,-0.7083663953176754
616.882,0.3424015011047683,0.3297083234848676,1.037688142324947,-0.001158846134655867,-0.7053744665199223,0.023851286013059934,-0.7084325198724959
617.059,0.3438708409496882,0.33019937172397584,1.0383335866075427,-0.001168242424248323,-0.7042992155191778,0.024679215331793757,-0.709473175362759
617.096,0.34467986323364513,0.330434198790585,1.0386094294572237,-0.0011986848104957098,-0.7038301577259538,0.02512339885089839,-0.7099228740224972
617.175,0.3463310509894369,0.33089689083164453,1.0391415438174882,-0.0012759323239464387,-0.702798132144381,0.02601079920222551,-0.7109125092273565
617.261,0.34841477295421375,0.33156675785772605,1.0400840231345567,-0.0012933563296414821,-0.7014270302709258,0.027145850851455787,-0.7122229645386793
617.297,0.3499836473254945,0.33202907952487115,1.0407188078250813,-0.0013081851840093031,-0.7004256432438647,0.02797372114569254,-0.713175769262533
617.312,0.3499836473254945,0.33202907952487115,1.0407188078250813,-0.0013081851840093031,-0.7004256432438647,0.02797372114569254,-0.713175769262533
617.41,0.35374044270805866,0.3331574211707903,1.0421794985500652,-0.0013089557424536883,-0.6981274011128527,0.029929483082250595,-0.7153465205707702
617.538,0.3602770686002406,0.33511808982806224,1.0446737622911155,-0.001232692497018939,-0.6942318505905746,0.03316768865759053,-0.7189857596113474
617.555,0.3608062703428758,0.3352811502179998,1.044874398908025,-0.0011981808092175529,-0.6939227912977113,0.033435087466962464,-0.7192717282129324
617.638,0.36524444638100223,0.33660195216558814,1.046439671796222,-0.0010496785672604926,-0.6913823733648503,0.03552871983721658,-0.7216141781049069
617.78,0.3747287923490511,0.339389497965841,1.0495038326478126,-0.0005624589425294091,-0.6862677868745597,0.03972537110015808,-0.7262631088174498
617.86,0.38031505478102445,0.3409910635423272,1.0511757486159168,-0.00016315211260845553,-0.6834313684558592,0.04203288951627412,-0.7288036595619236
617.912,0.3839571121897037,0.34202176271497453,1.052083644990657,0.00014119363205269424,-0.681647338788367,0.04347439618884343,-0.730388158764304
617.919,0.38470345645088966,0.342243795948339,1.0523913088173826,0.00021720332028448712,-0.6812975455807343,0.04376480499357462,-0.7306970980182274
618.05,0.39390288859903266,0.3447704482255216,1.054534323764196,0.0010973589405684162,-0.6770780207122203,0.04715451973288306,-0.7343981215529751
618.178,0.405093910188763,0.3477419199354052,1.056780954925495,0.0023571455354546526,-0.6724119937109303,0.05086345378958342,-0.7384236342691173
618.192,0.4059052918577752,0.3479522318581997,1.0569298115576584,0.0024526417518650704,-0.6720930599999171,0.05110863170673865,-0.7386966975785461
618.261,0.41240902187494843,0.34958790464764916,1.0580326647669858,0.003293003633374947,-0.6696355479691903,0.05305603445349812,-0.7407850202529356
618.366,0.4196819760823158,0.35135737952962925,1.0589129936928983,0.004268750497237484,-0.6670704894053678,0.05506335664904457,-0.7429446592366187
618.41,0.4236999582879179,0.3522913214453718,1.0594167883097358,0.004829241918710836,-0.665738770285422,0.05610264463258554,-0.7440571627412605
618.419,0.42447957040180045,0.3524645850823634,1.0593848791069251,0.004896037581861379,-0.665476230832822,0.05627527650957217,-0.7442785152523947
618.467,0.4276545371831399,0.35318757117991617,1.0597418945596584,0.005384942755520117,-0.6644879792425293,0.057063103677839865,-0.7450976647610377
618.6,0.43763346894091,0.3553400296173984,1.0604328476797469,0.0068349488827814334,-0.6615677530203397,0.05928997008502009,-0.7475065826363709
618.636,0.4406071312746724,0.355949794096147,1.06064123988126,0.007313868977311589,-0.6607685775904751,0.0599050423683495,-0.7481595953327667
618.638,0.4413306481439358,0.356097521682764,1.060655863437803,0.007420882736850787,-0.6605763104009749,0.06005449556101452,-0.7483163276311379
618.647,0.4420619696705665,0.3562428505485942,1.06066837421197,0.007530182570649824,-0.6603866134983591,0.060194617863016185,-0.7484713922675644
618.689,0.44495151590163834,0.35681349306566423,1.0608299416985176,-0.008000561509517523,0.6596625242989242,-0.0607559564984095,0.7490594494438122
618.765,0.45051619298184603,0.35787307011757036,1.0608172969364764,-0.008833126960763405,0.6583108633804541,-0.06175894410289203,0.7501563942583382
618.826,0.4538811244906958,0.35849762093364856,1.0608578691496064,-0.009381855457293442,0.6575572953456115,-0.062333022094873534,0.7507629309458895
618.964,0.4628592114233678,0.3600283212302833,1.0606750322838008,-0.010791356598527502,0.6556869199232145,-0.06369912694411546,0.7522636711226519
619.107,0.4720233119204826,0.36143875029254,1.0601491969248769,-0.01223503340610801,0.6540269830538847,-0.06487366596003848,0.7535850428849357
619.113,0.4720233119204826,0.36143875029254,1.0601491969248769,-0.01223503340610801,0.6540269830538847,-0.06487366596003848,0.7535850428849357
619.243,0.4793485531277077,0.3624774118001189,1.0596619173695327,-0.013401928578336575,0.6528856491779083,-0.06567232828584087,0.7544851640061843
619.326,0.4849012694839175,0.3632038061394698,1.0591576426248124,-0.014303532508257133,0.652123423236277,-0.06621346261991785,0.7550802786407984
619.38,0.4886225305488961,0.36363086992042404,1.0587887621179854,-0.014886003128122239,0.6516549279499221,-0.06652931413784348,0.7554456381168666
619.549,0.49928344443923484,0.3647448051078101,1.0574686352306915,-0.01654434615523478,0.6505380794065134,-0.06724961147094706,0.7563094483142381
